label,text
spam,"CONGRATULATIONS! You're getting a stimulus check of $3400! Click to claim now."
ham,"The project proposal has been approved! We can start implementation next week."
spam,"Your Netflix payment declined! Update billing information now to continue service."
ham,"I've backed up all the data and we're ready for the system migration tomorrow."
spam,"URGENT: Your personal data has been leaked! Purchase our protection service now."
ham,"Thanks for your leadership on this project. Your guidance really kept us on track."
spam,"You've been selected for $10,000 grant! No application needed, just click to claim."
ham,"The conference call is scheduled for Tuesday at 10 AM. I'll send the dial-in info tomorrow."
spam,"Your computer performance is terrible! Download our optimizer for 500% speed increase."
ham,"I've reviewed the budget and we have sufficient funds for the project. Let's proceed."
spam,"FINAL WARNING: Your website will be deleted! Pay hosting fee now to prevent removal."
ham,"Thanks for all your help this year. Working with you has been a pleasure!"
spam,"Your bank account shows unusual activity! Verify these charges or we'll freeze account."
ham,"The team building event is next Friday afternoon. Please RSVP by Wednesday. Should be fun!"
spam,"You've won a luxury watch worth $10,000! Click to claim before someone else does."
ham,"I've finalized the schedule for next quarter. Everyone's assignments are in the shared calendar."
spam,"URGENT: Your email password expired! Reset now or account will be permanently closed."
ham,"Thanks for your thorough review. Your attention to detail caught several important issues."
spam,"Your computer has been infected by ransomware! Pay $500 Bitcoin to unlock your files."
ham,"The project kickoff meeting went well. Everyone is excited and ready to get started!"
spam,"CONGRATULATIONS! You've been selected for $50,000 personal loan with no credit check!"
ham,"I've updated the employee handbook with the new policies. Please review at your convenience."
spam,"Your Google account will be suspended! Verify your identity within 30 minutes."
ham,"Thanks for the coffee this morning. That was exactly what I needed to start the day right!"
spam,"URGENT: Your prescription refill is ready! Click here to order with free delivery."
ham,"The client loved our proposal! They've given us the green light to proceed. Great work team!"
spam,"Your tax refund of $6,200 is being held! Click here to release your payment now."
ham,"I've scheduled the training session for next Wednesday at 2 PM. Calendar invites are out."
spam,"You've inherited $5 million! Contact our law firm immediately to claim your inheritance."
ham,"Thanks for being so understanding about the schedule change. Your flexibility really helps."
spam,"FINAL NOTICE: Your cell phone service will be terminated! Pay bill now to avoid cutoff."
ham,"The quarterly report is complete and looks great. I'll present it at next week's board meeting."
spam,"Your iPhone storage is full! Upgrade to iCloud premium now or lose your photos."
ham,"I've compiled the feedback from the survey. The results are very positive overall."
spam,"URGENT: Your credit card will be cancelled! Verify your account immediately."
ham,"Thanks for your contribution to the charity event. Together we raised a significant amount!"
spam,"You've won a brand new Tesla Model 3! Click here to claim your free car now."
ham,"The new employee orientation is next Monday morning. I've prepared all the welcome materials."
spam,"Your computer warranty expires in 1 hour! Renew now or lose all coverage."
ham,"I've reviewed the project plan and it looks solid. I think we're ready to move forward."
spam,"ALERT: Your Facebook will be permanently deleted! Verify within 15 minutes to save it."
ham,"Thanks for the recommendation. I reached out and we're setting up a meeting next week."
spam,"Your bank account needs verification! Click here now or it will be permanently closed."
ham,"The office holiday party is December 15th. More details coming soon. Mark your calendars!"
spam,"CONGRATULATIONS! You've won $100,000! Click to claim before time runs out."
ham,"I've updated the contact database with all the current information. Everything is current now."
spam,"Your email will be deleted in 1 hour! Click here immediately to prevent permanent loss."
ham,"Thanks for making this such a great place to work. Your positive attitude is contagious!"
spam,"URGENT: Your student loan payments are too high! Reduce them to $0 per month now."
ham,"The project review meeting is Friday at 3 PM. Please bring your status reports."
spam,"Your Amazon Prime has been suspended! Click here to reactivate your membership."
ham,"I've set up the new conference room booking system. Instructions are in the email I sent."
spam,"You've been approved for unemployment! Click here to receive your weekly benefits."
ham,"Thanks for your mentorship and guidance throughout this project. I learned so much!"
spam,"FINAL WARNING: Your domain registration expires today! Renew in next hour or lose it."
ham,"The client feedback was overwhelmingly positive. They want to expand the project scope!"
spam,"Your computer needs critical security updates! Download now or be hacked."
ham,"I've organized all the project documentation in the shared drive. Easy to find now."
spam,"URGENT: Your electricity service ends today! Pay now to avoid immediate disconnection."
ham,"Thanks for always going above and beyond. Your dedication makes a real difference!"
spam,"You've won free cryptocurrency! Claim your Bitcoin before someone else takes it."
ham,"The training was very informative. I've shared the materials with everyone who couldn't attend."
spam,"Your Netflix will be cancelled today! Update payment method immediately to continue."
ham,"I've completed the analysis and the results support our hypothesis. Very encouraging!"
spam,"CONGRATULATIONS! You're entitled to $8,000 government refund! Claim immediately."
ham,"Thanks for your cooperation during the transition. Everything went smoothly because of your help."
spam,"Your email storage is critically full! Upgrade now or lose all your messages."
ham,"The project has been successfully delivered to the client. Excellent work everyone!"
spam,"URGENT: Your Social Security number has been suspended! Call immediately to reactivate."
ham,"I've scheduled the team building activity for next Friday. Should be a lot of fun!"
spam,"Your credit card has been charged $1,299! Click here if you didn't make this purchase."
ham,"Thanks for the great presentation. The information was clear and well organized."
spam,"You've won a free vacation! Click here to book your trip before slots fill up."
ham,"The annual performance reviews begin next month. Please start preparing your self-assessment."
spam,"FINAL NOTICE: Your car warranty expires tomorrow! This is your last chance to renew."
ham,"I've updated the project timeline and shared it with the team. We're still on track."
spam,"Your computer is mining cryptocurrency for hackers! Stop them now by clicking here."
ham,"Thanks for staying late to finish the report. Your commitment is truly appreciated!"
spam,"URGENT: Your bank card will expire! Activate new card within 24 hours."
ham,"The client meeting went very well. I think we've secured the contract. Great news!"
spam,"You've been selected for jury duty! Click here to claim your $500 appearance fee."
ham,"I've prepared the presentation materials for next week's conference. Everything is ready."
spam,"Your email account is being closed! Prevent this by verifying within 30 minutes."
ham,"Thanks for being such a great colleague. Your support and friendship mean a lot!"
spam,"CONGRATULATIONS! You've won a brand new iPad! Claim your prize now before it's gone."
ham,"The new software training is mandatory. Please complete it by the end of next week."
spam,"Your WiFi has been hacked! Download our security app immediately to protect yourself."
ham,"I've reviewed the contract terms and everything looks acceptable. Ready to sign when you are."
spam,"URGENT: Your tax return has been rejected! Click here to resubmit immediately."
ham,"Thanks for all your hard work this quarter. The results speak for themselves. Well done!"
spam,"Your phone bill shows fraud! Click here to dispute charges and get full refund."
ham,"The project planning session is next Tuesday. I've booked the large conference room."
spam,"You've been approved for $75,000 home equity loan! No application needed, just accept."
ham,"I've finished updating the database. All the records are current and accurate now."
spam,"FINAL WARNING: Your Netflix subscription ends today! Renew now to keep watching."
ham,"Thanks for the thoughtful gift. That was very kind of you. It really made my day!"
spam,"Your computer performance is 90% slower! Fix it instantly with our free download."
ham,"The team exceeded all targets this quarter. Congratulations to everyone for the great work!"
spam,"URGENT: Your package delivery failed! Pay $5 redelivery fee or it will be returned."
ham,"I've scheduled the kickoff meeting for the new project next Monday morning at 9 AM."
spam,"Your Gmail will be permanently deleted! Save it now by clicking here immediately."
ham,"Thanks for your patience during the system upgrade. Everything is working perfectly now."
spam,"CONGRATULATIONS! You've won $500,000 in our sweepstakes! Claim your prize now."
ham,"The client presentation materials are ready. I've emailed them to everyone on the team."
spam,"Your online account has been hacked! Secure it now by changing your password."
ham,"I've completed the research project and the findings are very interesting. Let's discuss soon."
spam,"You've been selected for $25,000 disability payment! Click to see if you qualify."
ham,"Thanks for covering my meetings while I was away. I really appreciate your help!"
spam,"URGENT: Your power will be shut off in 2 hours! Pay your bill now to avoid this."
ham,"The new procedures have been implemented successfully. Training materials are available online."
spam,"Your credit score can improve 300 points! Click here to learn this secret method."
ham,"I've backed up all the important files. We're ready for the server migration this weekend."
spam,"FINAL CHANCE: Your domain expires in 6 hours! Renew now or lose it permanently."
ham,"Thanks for being such an important part of the team. Your contributions are valued!"
spam,"Your Amazon order couldn't be processed! Click here to complete payment immediately."
ham,"The quarterly planning meeting is next Friday. Please prepare your department's objectives."
spam,"You've won a luxury cruise! Click to book your free vacation before spaces fill up."
ham,"I've updated everyone's access permissions in the system. Let me know if you have issues."
spam,"URGENT: Your email password has been stolen! Change it now before hackers get in."
ham,"Thanks for the excellent work on this project. The client is thrilled with the results!"
spam,"Your computer has 389 viruses! Download our free antivirus immediately to remove them."
ham,"The project documentation has been completed and uploaded to the repository."
spam,"CONGRATULATIONS! You're getting $4,000 stimulus payment! Click here to claim it."
ham,"I've organized the files in the shared drive. Everything is categorized and easy to find now."
spam,"Your PayPal account is limited! Restore access immediately by verifying your identity."
ham,"Thanks for your leadership and vision on this project. It wouldn't have succeeded without you!"
spam,"FINAL NOTICE: Your car insurance ends today! Renew immediately to maintain coverage."
ham,"The team celebration is this Friday at 5 PM. Pizza and drinks will be provided!"
spam,"Your email will be closed forever! Click within 10 minutes to save your account."
ham,"I've reviewed the proposal and think it's excellent. Let's move forward with implementation."
spam,"You've been approved for mortgage with $0 down! Click to see your loan amount."
ham,"Thanks for always being reliable and professional. You're a great asset to the team!"
spam,"URGENT: Your bank account shows fraud! Verify transactions now or we freeze it."
ham,"The annual company meeting is next month. More details will be shared soon."
spam,"Your iPhone warranty has expired! Extend coverage now for only $299 per year."
ham,"I've completed the status report and submitted it to management. Everything looks good."
spam,"ALERT: Your credit card will be closed! Reactivate by clicking here immediately."
ham,"Thanks for making time in your busy schedule to help me. I really appreciate it!"
spam,"You've won $100,000 from Google! Click here to claim your lottery winnings now."
ham,"The project review went well. The stakeholders are pleased with our progress."
spam,"Your computer needs immediate repair! Click here to fix critical errors before crash."
ham,"I've scheduled the follow-up meeting with the client for next Thursday at 2 PM."
spam,"CONGRATULATIONS! You've been selected for $100,000 grant! No strings attached."
ham,"Thanks for your continued hard work and dedication. It doesn't go unnoticed!"
spam,"Your Netflix payment failed again! Update card details now or lose your account."
ham,"The training materials have been updated with the latest procedures. Please review."
spam,"URGENT: Your email quota exceeded! Upgrade now or lose all incoming messages."
ham,"I've prepared the agenda for next week's meeting. Let me know if you want to add anything."
spam,"Your tax refund of $7,890 is ready! Click here to direct deposit it to your account."
ham,"Thanks for being such a positive influence in the workplace. Your enthusiasm is inspiring!"
spam,"FINAL WARNING: Your website hosting ends today! Renew within 1 hour or lose site."
ham,"The project has been successfully completed ahead of schedule and under budget. Great job!"
spam,"Your Social Security benefits are ending! Enroll in new program today to continue payments."
ham,"I've updated the team calendar with all important dates and deadlines for next quarter."
spam,"You've won a brand new MacBook! Click here to claim before someone else takes it."
ham,"Thanks for everything you do. Your hard work and positive attitude make a real difference!"
ham,"Morning team! Quick reminder that we have the sprint planning meeting at 10 AM today."
ham,"I've attached the meeting notes from yesterday. Please let me know if I missed anything important."
ham,"The database backup completed successfully last night. All systems are running normally."
ham,"Could you please review the pull request when you get a chance? No rush, just when you have time."
ham,"Lunch break in 10 minutes! Anyone want to join me at the cafe downstairs?"
ham,"I've updated the documentation based on your feedback. Thanks for the thorough review!"
ham,"The deployment to staging went smoothly. Ready for testing whenever you are."
ham,"Happy Friday everyone! Great work this week. Have a wonderful weekend!"
ham,"I'll be working remotely tomorrow due to a home repair appointment. Reachable on Slack."
ham,"The bug you reported has been fixed and merged into the develop branch."
ham,"Thanks for helping me troubleshoot that issue. Your expertise saved me hours of work!"
ham,"Reminder: Code freeze begins Monday for the upcoming release. Please finalize your PRs."
ham,"I've scheduled the retrospective for next Friday at 3 PM. Looking forward to the discussion."
ham,"The new feature is ready for review. I've added comprehensive tests and documentation."
ham,"Could you share the API documentation when you have a moment? Thanks in advance!"
ham,"The client demo went great! They're excited about the new features we've built."
ham,"I'll be taking a half day on Wednesday for a doctor's appointment. Back online by 2 PM."
ham,"The performance optimization reduced load time by 40%. Nice work!"
ham,"Team lunch next Tuesday to celebrate the successful launch. Details to follow."
ham,"I've created a wiki page with the setup instructions for new developers."
spam,"Urgent security alert! Your account has been compromised. Click here immediately to secure it!"
spam,"You are the lucky winner of $5,000,000! Claim your prize within 24 hours or forfeit."
spam,"Your package could not be delivered. Click here to reschedule and pay a $2 handling fee."
spam,"LAST CHANCE! Your subscription is about to expire. Renew now with 90% discount!"
spam,"Congratulations! You've been selected for an exclusive investment opportunity. Limited spots available!"
spam,"Your computer is infected with malware. Download our antivirus software now to protect your data."
spam,"Hot singles in your area want to meet you! Click here to chat now. 100% free!"
spam,"Your bank account has been locked. Verify your identity immediately to restore access."
spam,"Make $10,000 per week working from home! No experience necessary. Join now!"
spam,"Your email storage is 95% full. Click here to upgrade to premium for only $1."
spam,"URGENT: Your payment method has failed. Update your billing information now to avoid service interruption."
spam,"You've been pre-approved for a $50,000 loan with 0% interest! Apply now before offer expires."
spam,"Your Microsoft account shows suspicious activity. Click here to review and secure your account."
spam,"Lose 50 pounds in 30 days with this one weird trick! Doctors hate this simple method."
spam,"Your social security number has been suspended due to suspicious activity. Call immediately!"
spam,"Claim your free iPhone 14 Pro Max now! Limited offer for first 100 respondents."
spam,"Your Apple ID has been locked for security reasons. Click here to unlock immediately."
spam,"BREAKING: New cryptocurrency will make early investors millionaires. Buy now before it's too late!"
spam,"Your Amazon Prime membership is expiring. Renew now to keep your benefits active."
spam,"You've been selected for a $10,000 government grant. No repayment required. Claim now!"
